№,Секунда,Микросекунда
1,11,97396
2,11,109218
3,11,119616
4,11,130284
5,11,140500
6,11,151092
7,11,161478
8,11,171878
9,11,182320
10,11,192834
11,11,203132
12,11,213477
13,11,224058
14,11,234205
15,11,244313
16,11,254862
17,11,265043
18,11,275170
19,11,285483
20,11,296027
21,11,306370
22,11,316964
23,11,327561
24,11,337760
25,11,348317
26,11,359153
27,11,369418
28,11,380148
29,11,390633
30,11,401399
31,11,412047
32,11,422286
33,11,432536
34,11,443051
35,11,453238
36,11,463697
37,11,474284
38,11,484406
39,11,494642
40,11,505077
41,11,515189
42,11,525417
43,11,535619
44,11,546110
45,11,556246
46,11,566347
47,11,576570
48,11,587088
49,11,597220
50,11,607488
51,11,618081
52,11,628560
53,11,638766
54,11,648877
55,11,659081
56,11,669281
57,11,679517
58,11,690086
59,11,700560
60,11,710728
61,11,720794
62,11,731007
63,11,741340
64,11,751704
65,11,762239
66,11,773210
67,11,783921
68,11,794339
69,11,804776
70,11,815191
71,11,825553
72,11,835889
73,11,846389
74,11,856866
75,11,867378
76,11,877982
77,11,888637
78,11,899031
79,11,909397
80,11,920011
81,11,930519
82,11,940908
83,11,951120
84,11,961288
85,11,971815
86,11,981979
87,11,992142
88,12,2559
89,12,13190
90,12,23717
91,12,34140
92,12,44769
93,12,54981
94,12,65403
95,12,75494
96,12,85815
97,12,96376
98,12,106962
99,12,117234
100,12,127689
101,12,138252
102,12,148686
103,12,158910
104,12,169070
105,12,179576
106,12,189898
107,12,200382
108,12,210929
109,12,221662
110,12,232225
111,12,242507
112,12,253015
113,12,263414
114,12,273932
115,12,284445
116,12,294494
117,12,305046
118,12,315353
119,12,325887
120,12,336198
121,12,346482
122,12,356556
123,12,366881
124,12,377511
125,12,387731
126,12,398283
127,12,408635
128,12,418840
129,12,429134
130,12,439432
131,12,450120
132,12,460795
133,12,471224
134,12,481779
135,12,492194
136,12,502716
137,12,513374
138,12,523886
139,12,534077
140,12,544760
141,12,555274
142,12,565959
143,12,576459
144,12,586998
145,12,597504
146,12,607808
147,12,618127
148,12,628633
149,12,639181
150,12,649697
151,12,659803
152,12,670012
153,12,680557
154,12,690894
155,12,701365
156,12,711519
157,12,721626
158,12,732071
159,12,742680
160,12,752850
161,12,763203
162,12,773861
163,12,784495
164,12,794928
165,12,805297
166,12,815378
167,12,825730
168,12,836238
169,12,846529
170,12,856795
171,12,867277
172,12,877504
173,12,887645
174,12,898133
175,12,908468
176,12,918526
177,12,928610
178,12,939190
179,12,949522
180,12,960031
181,12,970426
182,12,980893
183,12,991366
184,13,1745
185,13,11840
186,13,22047
187,13,32200
188,13,42462
189,13,52587
190,13,62730
191,13,72874
192,13,83410
193,13,93962
194,13,104550
195,13,114699
196,13,125155
197,13,135487
198,13,146000
199,13,156104
200,13,166369
201,13,176937
202,13,187136
203,13,197362
204,13,207589
205,13,217879
206,13,228295
207,13,238580
208,13,248896
209,13,259317
210,13,269477
211,13,279669
212,13,289866
213,13,299992
214,13,310629
215,13,321184
216,13,331634
217,13,342135
218,13,352388
219,13,362914
220,13,373592
221,13,383918
222,13,394001
223,13,404127
224,13,414623
225,13,425114
226,13,435568
227,13,445866
228,13,456385
229,13,466545
230,13,476725
231,13,487116
232,13,497456
233,13,507732
234,13,518022
235,13,528566
236,13,538842
237,13,549031
238,13,559456
239,13,570092
240,13,580350
241,13,590807
242,13,600886
243,13,610942
244,13,621263
245,13,631755
246,13,642413
247,13,652600
248,13,662842
249,13,673336
250,13,683909
251,13,694239
252,13,704508
253,13,715073
254,13,725696
255,13,736209
256,13,746345
257,13,756527
258,13,766898
259,13,777642
260,13,788040
261,13,798359
262,13,808928
263,13,819172
264,13,829308
265,13,839583
266,13,849934
267,13,860321
268,13,870444
269,13,881115
270,13,891404
271,13,901908
272,13,912142
273,13,922401
274,13,932710
275,13,942902
276,13,953118
277,13,963187
278,13,973387
279,13,983780
280,13,993989
281,14,4507
282,14,14728
283,14,24823
284,14,35164
285,14,45478
286,14,55934
287,14,66023
288,14,76202
289,14,86352
290,14,96486
291,14,106686
292,14,116853
293,14,127122
294,14,137366
295,14,147870
296,14,158349
297,14,168665
298,14,179032
299,14,189165
300,14,199415
